,NU_ANO,CO_CURSO,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9
44519,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""CABBEAAE""","""00110100""","""DCDBCEDABCDECBAEABDECBBCDEA""","""900100119900900000900001800""",555,555,555,555,555,555,555,555,555,555,555,21.8,32.7,37.5,25.5,7,35,0,44,40,45,18.1,19,13.3,10,30,0,"""C""","""C""","""C""","""A""","""A""","""C""","""E""","""C""","""B"""
75195,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""EEABACCC""","""10011010""","""CABABCDCEBBACABDCEBCDAABACA""","""900001109900901001901010800""",555,555,555,333,555,333,333,333,333,333,333,25.7,30,50,0,0,0,0,0,0,0,24.3,28.6,0,0,0,0,"""C""","""C""","""A""","""B""","""A""","""B""","""D""","""D""","""D"""
75203,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""CDEAABEA""","""00001000""","""BDDAECDCDBBDADBDEAAABAAEBCD""","""900001109900901010910010801""",555,555,555,555,555,555,555,555,555,555,333,25.7,17.7,12.5,25.5,8,40,0,43,15,50,28.3,33.3,0,0,0,0,"""C""","""C""","""C""","""B""","""C""","""D""","""B""","""D""","""D"""
82309,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""BAEAAAAA""","""00001100""","""DDEBDDDBCCDDDCBAEEBAEBEADEE""","""900110109900901011910000800""",555,555,555,555,555,555,555,555,555,555,555,26.5,19.4,25,11,5,25,0,17,25,15,28.8,33.3,3.3,10,0,0,"""C""","""C""","""C""","""B""","""B""","""B""","""E""","""D""","""C"""
84009,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""BADACAEC""","""00000100""","""DBCAEEDBDBAADDBEEEAAEAABEAB""","""901000109910901011910010800""",555,555,555,555,555,333,555,555,333,333,333,26.7,9.5,12.5,5,5,25,0,5,25,0,32.4,38.1,0,0,0,0,"""D""","""C""","""C""","""A""","""A""","""B""","""A""","""C""","""E"""
94096,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""EAEACACA""","""10000110""","""EDCAABDBECAACBBDAABABEB*CAA""","""901000109910901000910100800""",555,555,555,555,555,555,555,555,555,555,555,27.8,35.1,37.5,31.5,20,40,15,43,55,40,25.3,28.6,6.7,10,0,10,"""C""","""C""","""C""","""B""","""B""","""C""","""C""","""D""","""D"""
109233,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""CBBBCACC""","""00110110""","""EACADCDDDBAAECBDCABAEABBDEC""","""901011109910901000910000800""",555,555,555,555,555,555,555,555,555,555,333,29.4,32.8,50,7,7,35,0,7,35,0,28.3,33.3,0,0,0,0,"""C""","""C""","""C""","""C""","""C""","""C""","""B""","""C""","""C"""
112143,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""EABCAACB""","""10101110""","""EDDDDADBCCAEDDBDEDDDAADABDE""","""900010109910901010900000810""",555,555,555,555,555,555,555,555,555,333,333,29.7,42.9,62.5,13.5,8,40,0,19,35,15,25.3,28.6,6.7,20,0,0,"""A""","""C""","""C""","""A""","""B""","""B""","""E""","""D""","""C"""
132157,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""BBBBACAD""","""00111001""","""EEDEBCDEDBCADABADEBBDBACACC""","""910001109900901001901011800""",555,555,555,333,555,333,333,333,333,333,333,31.8,30,50,0,0,0,0,0,0,0,32.4,38.1,0,0,0,0,"""D""","""C""","""A""","""A""","""B""","""A""","""A""","""B""","""B"""
133044,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""CCEAAACA""","""01001110""","""ADDBDED.ECBABDDACEBADBEDCDC""","""900110109900900001911000810""",555,555,555,555,555,555,555,555,333,555,333,31.9,42.6,50,31.5,34,50,30,29,25,30,28.3,33.3,0,0,0,0,"""C""","""C""","""C""","""B""","""B""","""C""","""E""","""D""","""D"""
134972,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""EBAACCCD""","""10000011""","""DAEADDDBEBBBEABCEEBBABDCCBB""","""900010109901901011900001800""",555,555,555,555,555,555,333,555,555,555,555,32.1,29.9,37.5,18.5,0,0,0,37,65,30,32.8,33.3,30,45,30,15,"""E""","""D""","""C""","""D""","""B""","""D""","""D""","""C""","""C"""
146544,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""EABACECC""","""10100010""","""BDDAECDBEBBCEBBEEDEACECBADB""","""900001109900901010910100810""",555,555,555,555,555,555,555,555,555,555,555,33.3,30.9,37.5,21,7,35,0,35,55,30,34.1,33.3,38.3,40,75,0,"""C""","""C""","""C""","""B""","""B""","""C""","""D""","""C""","""C"""
155019,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""CABBCACE""","""00110110""","""DDDADEDBDCABDDBEEEBABBBBECE""","""900010109911901011910000800""",555,555,555,555,555,555,555,555,555,555,555,34.2,36,50,15,8,40,0,22,50,15,33.6,38.1,8.3,25,0,0,"""C""","""C""","""C""","""D""","""C""","""D""","""D""","""D""","""C"""
157069,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""CABBCDAC""","""00110000""","""DEDBEEEBEDACBABAEEBADAADBCC""","""910100009910901011911010800""",555,555,555,555,555,555,555,555,555,555,333,34.4,26,25,27.5,8,40,0,47,55,45,37.2,42.9,5,15,0,0,"""A""","""C""","""C""","""A""","""B""","""B""","""B""","""D""","""A"""
163422,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""AAEADBCD""","""00000011""","""DEDBDCDACABEDBCABEABDCEBADC""","""910111119900900001901000810""",555,555,555,555,555,555,555,555,555,555,555,35.1,29.2,25,35.5,20,40,15,51,55,50,37,42.9,3.3,0,10,0,"""C""","""D""","""C""","""D""","""D""","""D""","""A""","""D""","""C"""
169985,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""EBBACBCC""","""10100010""","""AEDADCEBDDBBAECDEEBABBCBBDB""","""910011009901910011910000810""",555,555,555,555,555,555,555,555,555,555,333,35.8,30.5,37.5,20,23,55,15,17,25,15,37.5,42.9,6.7,20,0,0,"""C""","""C""","""A""","""A""","""A""","""B""","""C""","""D""","""E"""
170037,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""BECACAAA""","""00000100""","""DECBAADECCABCDBBDDDAAADEECA""","""911100109911901100910000800""",555,555,555,555,555,555,555,555,555,555,555,35.8,22.5,12.5,37.5,13,65,0,62,50,65,40.2,42.9,25,45,30,0,"""C""","""C""","""C""","""D""","""C""","""D""","""D""","""D""","""D"""
180899,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""CAECAACD""","""00001111""","""DDDADCEBEBACEDBDECBADBCBCDA""","""900011009910901010911000810""",555,555,555,555,555,555,555,555,555,555,555,37,41.6,50,29,23,55,15,35,55,30,35.4,38.1,20,60,0,0,"""C""","""C""","""A""","""C""","""A""","""C""","""B""","""E""","""D"""
181913,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""BBBBEDCE""","""00110010""","""CBDADCDACBBDEABBEABBBEBABDA""","""900011119900901110900100810""",555,555,555,555,555,555,555,555,555,555,555,37.1,31.5,37.5,22.5,5,25,0,40,40,40,39,42.9,16.7,50,0,0,"""C""","""C""","""D""","""A""","""A""","""C""","""B""","""D""","""*"""
183695,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""CBBAAAAC""","""00101100""","""DECAECABCCABAEBDCAEABCABDDE""","""911001009911911000910010810""",555,555,555,333,555,555,333,333,555,333,333,37.3,22.5,37.5,0,0,0,0,0,0,0,42.2,47.6,11.7,35,0,0,"""C""","""C""","""C""","""C""","""C""","""C""","""E""","""D""","""C"""
186424,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""CCBACAAC""","""01100100""","""AECDBDDBCEABBDBCBDABCDACEBB""","""911000109911901000900011800""",555,555,555,555,555,555,555,555,555,555,555,37.6,38.1,37.5,39,55,55,55,23,55,15,37.4,38.1,33.3,30,55,15,"""C""","""C""","""D""","""B""","""C""","""C""","""C""","""D""","""E"""
189060,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""BCBACBCE""","""01100010""","""DECAACDCDBCAEEBCCABADABBEDD""","""911001109900911000911000811""",555,555,555,555,555,555,555,333,555,333,333,37.9,25.1,37.5,6.5,13,65,0,0,0,0,42.2,47.6,11.7,35,0,0,"""C""","""D""","""C""","""B""","""B""","""C""","""D""","""C""","""E"""
190008,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""EABAAACD""","""10101111""","""DCCADCAADCCACCBCEEBCBDEEEDA""","""901011019900901011900000810""",555,555,555,555,555,555,555,555,555,555,555,38,51.6,75,16.5,20,40,15,13,65,0,33.4,38.1,6.7,20,0,0,"""C""","""C""","""B""","""A""","""A""","""B""","""E""","""E""","""B"""
194536,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""EABBAECC""","""10111010""","""DDEADCDDACAAEABCEEACCDBCCCB""","""900011109910901011900001800""",555,555,555,555,555,555,555,555,555,555,555,38.5,41.9,62.5,11,7,35,0,15,15,15,37.4,38.1,33.3,55,20,25,"""D""","""C""","""C""","""C""","""B""","""C""","""B""","""D""","""D"""
197078,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""EBAACACE""","""10000110""","""AEBBDADADEAEBECBEAECAACCDEA""","""910110119910910110900001800""",555,555,555,555,555,555,555,555,555,555,336,38.8,26.1,37.5,9,7,35,0,11,55,0,43,47.6,16.7,20,30,0,"""C""","""C""","""C""","""C""","""A""","""C""","""A""","""D""","""C"""
199844,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""ECEACBAA""","""11000000""","""EDDDDCDACCAEAEBEEDCACDABBEC""","""900011119910911010910010800""",555,555,555,555,555,555,555,555,555,555,333,39.1,21.4,25,16,7,35,0,25,65,15,45,47.6,30,70,20,0,"""D""","""D""","""D""","""E""","""E""","""C""","""D""","""C""","""D"""
205660,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""CABAAACD""","""00101111""","""DECAECDBEBBBEEBADDAADAECDCC""","""911001109901911000911001800""",555,555,555,333,555,333,333,333,333,333,333,39.8,37.5,62.5,0,0,0,0,0,0,0,40.5,47.6,0,0,0,0,"""D""","""D""","""C""","""B""","""B""","""B""","""B""","""C""","""C"""
209823,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""BCBAAACE""","""01101110""","""DDBADCEBECABADBAEECACBBDDCD""","""900011009911901011910000801""",555,555,555,555,555,555,555,555,555,555,555,40.3,47.3,62.5,24.5,11,55,0,38,70,30,38,42.9,10,30,0,0,"""C""","""C""","""C""","""D""","""B""","""B""","""D""","""D""","""C"""
214790,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""ABAACBCC""","""00000010""","""DAEABCDAEDAADDBBEECABACCCED""","""900001119910901111910001801""",555,555,555,555,555,555,555,555,555,555,555,40.9,15.7,12.5,20.5,7,35,0,34,50,30,49.3,52.4,31.7,55,40,0,"""C""","""C""","""C""","""D""","""D""","""D""","""B""","""E""","""C"""
214800,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""CEBBAECA""","""00111010""","""BECDECDCECBDEEBAEEACBBECADC""","""911001109900911011900001810""",555,555,555,555,555,555,555,555,555,555,555,40.9,42,50,30,23,55,15,37,65,30,40.5,47.6,0,0,0,0,"""B""","""C""","""B""","""A""","""B""","""A""","""B""","""C""","""D"""
216454,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""EABACACD""","""10100111""","""EEDADCEDDCAADEADEEDADAEEBEE""","""910011009910910011911000800""",555,555,555,555,555,555,555,555,555,555,555,41.1,51.9,62.5,36,7,35,0,65,65,65,37.5,42.9,6.7,0,20,0,"""D""","""D""","""C""","""D""","""B""","""C""","""E""","""D""","""C"""
217218,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""EABAAACB""","""10101110""","""DECADCDDDCABECBADEDAEABDAEB""","""911011109911901001910000800""",555,555,555,555,555,555,555,333,555,333,333,41.2,39.5,62.5,5,10,50,0,0,0,0,41.7,47.6,8.3,25,0,0,"""B""","""C""","""C""","""A""","""B""","""B""","""E""","""D""","""C"""
221475,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""ECBACACA""","""11100110""","""DDCADCDBBBBABABAEDBEDCECCCD""","""901011109900901010901001801""",555,555,555,555,555,555,555,555,555,333,555,41.7,48.3,62.5,27,7,35,0,47,55,45,39.5,42.9,20,45,0,15,"""C""","""C""","""C""","""B""","""A""","""C""","""B""","""D""","""C"""
